Name	Frequency [meV]	ZPR [meV]	Reference_Alpha	Reference_ZPR [meV]
mp-553025	882.530500615572	-155.704916	3.660306	-144.988532
mp-5532	620.0355201995117	-205.852584	2.590379	-189.681286
mp-553303	360.8545602424498	-50.40088	4.791755	-49.496875
mp-553310	781.9547251543851	-179.457247	7.870645	-168.33411
mp-553342	1514.6005717992884	-199.361377	4.286463	-191.194709
mp-553374	775.9643170134538	-338.55218	13.101266	-256.737012
mp-553875	440.3849511517481	-48.072599	0.732251	-47.473407
mp-553961	1520.9352865032997	-283.262892	3.113758	-257.556485
mp-554155	1816.5077169204649	-255.693321	6.047146	-239.831645
mp-554412	1688.4346705273406	-372.012025	6.63539	-333.389438
mp-554941	246.62292056465455	-1929.191296	58.758359	-691.490822
mp-555166	417.7517605296493	-23.504652	1.134655	-23.167701
mp-555410	342.57121300579695	-19.958966	0.480669	-19.798259
mp-555763	298.8970257729459	-19.892643	0.469253	-19.692138
mp-556120	1835.6091732426196	-256.052558	200.712164	-239.134499
mp-556405	1283.4320005953164	-163.872176	3.258465	-157.380753
mp-556866	427.3246393153512	-14.478091	1.696901	-14.284791
mp-556953	742.6565517985078	-63.084092	3.292235	-61.324853
mp-557664	178.036497365718	-223.490567	246.52541	-164.269411
mp-558071	112.29453943186574	-85.140992	3.754955	-77.238259
mp-558118	1299.5764850070768	-356.025637	3.273939	-326.964168
mp-558430	1314.6900141707288	-328.313552	8.65411	-298.303284
mp-5588	747.265271304004	-234.159678	5.534053	-218.299078
mp-559092	346.4965261880467	-4674.055937	19.195746	-1287.009894
mp-559695	218.9302022150314	-564.885192	27.389701	-354.277488
mp-560037	249.61582727291358	-821.485859	16.840074	-402.346638
mp-560558	455.2040995067014	-38.078779	3.024844	-37.034098
mp-560588	94.19156924767617	-20.40422	0.480159	-20.180674
mp-560790	278.365663090842	-2019.059698	21.717813	-653.484163
mp-560791	1271.062113306585	-287.14889	5.092096	-253.532761
mp-561561	295.76657096454073	-370.091028	11.913049	-281.739728
mp-561586	151.8290536662737	-81.1238	2.497718	-76.912138
mp-5618	1602.903015355072	-207.857694	148.462888	-196.999285
mp-561827	457.65417116336874	-251.997953	11.026757	-197.024894
mp-561947	182.2378538156684	-111.994788	3.702324	-102.745035
mp-5621	169.95150283514977	-6.448731	0.12371	-6.433558
mp-5652	1787.1088545669118	-189.912398	2.572783	-181.674064
mp-567290	253.09589056761894	-59.834839	0.912396	-58.553324
mp-567373	1154.5677021286974	-237.273591	5.126581	-220.24627
mp-567558	203.58443475306302	-69.105693	3.660661	-63.526062
mp-567636	74.81792409810241	-10.259525	0.229687	-10.224525
mp-567652	257.7155737224578	-378.190061	9.070213	-245.068078
mp-567655	895.1258188971436	-112.367151	2.931761	-109.018345
mp-567666	221.03562818404484	-18.887261	0.881247	-18.555962
mp-567680	391.7638131429972	-123.147398	4.833621	-107.866414
mp-567744	381.9865828517052	-60.857012	2.649219	-56.651793
mp-567776	185.97568487205962	-8.905874	0.868049	-8.825326
mp-567913	258.17865246413874	-7.390019	0.869692	-7.331571
mp-568018	118.75773272149699	-5.297802	0.572377	-5.262275
mp-568032	244.82863725676737	-9.074596	0.395102	-9.011357
mp-568052	110.88096895079406	-2.568253	0.203421	-2.561625
