Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume
mp-641923	2.0990867870384924	194.480148922226	0.5803	3.666864327203257	6.975104165773798	315.249842403
mp-642648	3.6140359753057427	4.939125626812335	1.213	2.422206586638552	4.88234208404298	169.550199596
mp-642725	1.8841214694977892	54.40421807431433	0.636	2.998844808040351	7.379078166783527	123.341980305
mp-643002	1.6061075148979873	30.82546186098375	0.8817	5.273042152951432	16.66508538040053	72.5302954727
mp-643101	1.9179561661750284	22.58673658663406	0.8334	2.7979469879267835	5.621074949319847	149.98411416
mp-643243	2.513684031099598	10.42250927650071	1.0498	2.8582923319142277	5.860069241648946	173.515191876
mp-643257	2.2093991747232464	17.640491889448967	0.9217	2.934541669971557	5.989211704477454	126.918007057
mp-643260	1.3110459267827954	56.10464634084947	0.7218	3.656404623110364	7.148845271022913	90.2150457159
mp-643264	1.3402083867723322	30.565275558109025	0.8736	4.942449515008456	12.84256716763188	120.769262924
mp-643279	1.6181500145645877	33.39025684729357	0.7486	2.8755238051242515	5.730203909668521	131.158993214
mp-643370	0.8565184304688758	72.631647375736	0.6521	5.189996317103361	14.021388411768454	122.530542229
mp-644203	1.2648872056459473	48.670126468463266	0.6593	3.6600428804145566	9.631052682614367	93.4998992242
mp-6450	0.9528489090672844	145.79064409227567	0.7274	5.972686686233877	10.422681974152368	269.993259203
mp-6459	3.8413591063106822	2.132379754292376	1.4213	2.7941124408355758	7.865864686937004	106.026784658
mp-648	1.4002102155193155	200.19739485241686	0.5281	3.567416783315294	6.884244250333957	68.7643904713
mp-6494	3.0039859611327904	7.987374853470709	0.9659	2.589832190236205	7.284868795554728	149.435261854
mp-6586	4.215305928997357	12.994244248425495	0.7299	2.018153680324899	7.349291979669144	133.469661783
mp-661	0.617469685918777	158.91213300120572	0.5442	4.53682024375877	8.484237359172969	41.8259434918
mp-6654	4.124497899586668	17.223208800533108	0.7175	2.2966261432659714	9.4299370556915	168.066735623
mp-6660	2.325437244352984	26.301409823634376	0.7441	3.166140631548022	10.501180546913247	160.140230156
mp-672	0.3678259290214498	2151.6609734564604	0.3439	6.3147046844547035	9.663536538076245	98.8871685315
mp-675011	3.9129245881768613	12.43644760284354	0.7653	1.9084163183130363	5.251465599180563	137.015027032
mp-675104	7.472519670815979	1.6548236839741723	1.6805	2.684668191676408	6.559388987333212	263.735873628
mp-675531	0.9653642714097879	143.64970133745865	0.8059	15.150358077539169	113.38140725939931	184.706512378
mp-675902	0.5992630400197567	289.9616470774989	0.8267	10.985918546941337	17.357507712597666	88.8239853164
mp-676284	0.5105431089265573	1336.5341118140109	0.4327	9.948615937088123	20.337032154873878	186.298483619
mp-676464	0.5847844987356051	2649.7133426482455	0.3515	6.0686418415806065	9.4200367653444	256.621634136
mp-676861	0.9987720129847798	123.5384567668156	0.5235	4.105173843714467	11.080018539479523	61.7971767794
mp-677335	1.6681170501264944	27.57741762008024	0.752	2.475046989820201	4.695384501867576	90.2233632179
mp-682	4.179045004203044	13.299548265302402	0.7481	1.8961935397557501	5.279323419528824	24.7741243784
mp-684	1.485918202194295	151.53869971156175	0.7114	5.4402670003566245	10.150771973266528	170.779072874
mp-684580	0.46235003618191234	3080.4271892113225	0.3908	5.681015910403432	7.3210236057120905	67.3786465111
mp-684690	0.6423670533730654	358.6270628170393	0.6265	11.083759620252334	26.309673224774	232.026210351
mp-684969	0.8472963501461803	170.2809315262842	0.6813	8.600949473138979	22.675215371338748	204.425070587
mp-6867	2.9223285826152736	15.215853493672608	0.7796	2.450619125980072	8.050048378793141	98.585427542
mp-6870	2.5560175447190177	14.80132918870638	0.7671	2.2089197212133937	5.858370908384487	106.607372836
mp-690785	1.2152657640682571	64.62036178748068	0.641	3.422728506407128	7.194284205569951	95.1550086342
mp-6920	5.6995785777573245	1.016958637713093	1.6819	2.1995098535690834	4.853731832264611	77.155798164
mp-6930	1.4340050532866873	31.683659827726252	0.7097	2.4661069876545647	4.636276427643182	115.450275815
mp-6947	1.3920864609689856	36.93830818246216	0.6684	3.431058718490483	10.53886828629382	46.9206752692
mp-6949	2.992537034737735	25.426020047916023	0.7049	2.3713472401816706	6.347956287331221	121.8538097
mp-6951	4.334511163333856	22.235487660675993	0.6514	2.4688794423567066	16.85749268889161	85.7289811725
mp-6960	1.17605035558485	119.32930671617814	0.8567	6.1966879762697324	10.056314109305497	316.074849245
mp-696804	3.173924590506884	79.60455701492299	0.6107	2.91119323025624	7.091743934459281	152.992674147
mp-697030	1.6238140175029874	28.011233540836997	0.9219	5.463001002644228	17.18406010290259	71.2451905628
mp-697038	2.2874207760810585	9.680634308933874	1.2493	4.6357539387775235	11.434192903828908	125.876375171
mp-697044	3.448759758005001	2.4528365517269606	1.8354	4.619141801683713	11.317447948979884	127.103172251
mp-697096	1.3219701887944955	53.971313214677885	0.734	3.6461382296313007	7.034145671336508	89.7592613993
mp-697133	1.7478319713134405	20.908784735336383	0.8458	3.4271449197842094	8.696711662908571	155.848904292
mp-697144	3.0197780714659794	42.84656267094437	0.6285	2.8292787564388715	11.796569126395184	117.718005573
mp-6972	1.3142774184603558	49.922066906160396	0.838	5.073281443862897	10.97724846623491	60.1586784429
mp-6973	1.6675771769804535	210.07360825600404	0.5205	4.004176253083845	9.479990449903392	175.489817379
mp-6980	0.5713232946333349	174.78733225031974	0.8825	11.414115102827415	20.003909748225016	69.9528761348
mp-6983	0.762672496017237	137.70470542634615	0.7515	4.668291982645359	6.672274499317183	203.056736151
mp-6984	1.204387454154831	87.16243521325623	0.9435	6.332539318301418	10.355105556638385	289.985319638
